,Year,Country,Participant,Song,Points,Competition,Qualified,Rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
132,2021,Malta,Destiny,Je Me Casse,325,First Semi-Final,yes,1st,0.763,0.87,8,-4.493,0,0.107,0.148,0,0.277,0.783,111.988,178500
133,2021,San Marino,Senhit,Adrenalina,118,Second Semi-Final,yes,9th,0.665,0.886,10,-5.773,0,0.082,0.00319,1.22e-06,0.387,0.529,104.084,179787
134,2021,Estonia,Uku Suviste,The Lucky One,58,Second Semi-Final,no,13th,0.403,0.639,8,-9.174,0,0.0739,0.0386,0,0.0918,0.409,175.719,182727
135,2021,Czechia,Benny Cristo,omaga,23,Second Semi-Final,no,15th,0.717,0.872,6,-5.647,1,0.033,0.109,0.00156,0.344,0.886,122.012,179754
136,2021,Greece,Stefania,Last Dance,184,Second Semi-Final,yes,6th,0.533,0.91,2,-4.526,0,0.0435,0.0213,0,0.0699,0.393,146.869,180000
137,2021,Austria,Vincent Bueno,Amen,66,Second Semi-Final,no,12th,0.442,0.384,1,-10.223,1,0.0397,0.0102,6.51e-05,0.0831,0.0843,79.662,175556
138,2021,Poland,RAFAŁ,The Ride,35,Second Semi-Final,no,14th,0.69,0.771,11,-7.064,0,0.0262,0.403,0,0.25,0.926,131.946,180813
139,2021,Moldova,Natalia Gordienko,SUGAR,179,Second Semi-Final,yes,7th,0.694,0.76,11,-7.216,0,0.0464,0.00495,0.00566,0.134,0.511,119.987,178500
140,2021,Iceland,Daði og Gagnamagnið,10 Years,288,Second Semi-Final,yes,2nd,0.869,0.303,3,-11.512,0,0.0919,0.0275,7.08e-06,0.0696,0.543,127.044,173387
141,2021,Serbia,Hurricane,Loco Loco,124,Second Semi-Final,yes,8th,0.646,0.918,0,-4.076,1,0.12,0.165,0,0.161,0.601,105.008,176000
142,2021,Georgia,Tornike Kipiani,You,16,Second Semi-Final,no,16th,0.497,0.367,0,-7.782,1,0.0245,0.238,0.0432,0.189,0.12,133.871,183640
143,2021,Albania,Anxhela Peristeri,Karma,112,Second Semi-Final,yes,10th,0.515,0.627,7,-10.083,0,0.0448,0.00371,0,0.127,0.192,149.987,179200
144,2021,Portugal,The Black Mamba,Love Is On My Side,239,Second Semi-Final,yes,4th,0.285,0.419,4,-7.243,1,0.0286,0.338,3.26e-06,0.197,0.244,66.355,175960
145,2021,Bulgaria,VICTORIA,Growing Up Is Getting Old,250,Second Semi-Final,yes,3rd,0.413,0.193,7,-7.94,1,0.0296,0.796,1.09e-06,0.095,0.312,94.112,188171
146,2021,Finland,Blind Channel,Dark Side,234,Second Semi-Final,yes,5th,0.566,0.954,7,-3.786,1,0.0938,0.00208,2.1e-06,0.29,0.441,98.006,177790
147,2021,Latvia,Samanta Tīna,The Moon Is Rising,14,Second Semi-Final,no,17th,0.656,0.628,10,-7.617,0,0.144,0.0387,0,0.142,0.331,150.06,180000
148,2021,Switzerland,Gjon's Tears,Tout l'Univers,291,Second Semi-Final,yes,1st,0.532,0.363,9,-9.131,0,0.0317,0.824,5.08e-06,0.107,0.183,123.472,185027
149,2021,Denmark,Fyr Og Flamme,Øve Os På Hinanden,89,Second Semi-Final,no,11th,0.678,0.867,0,-5.85,1,0.0268,0.0128,3.19e-05,0.344,0.961,124.001,186751
150,2021,Cyprus,Elena Tsagrinou,El Diablo,94,Grand Final,NaN,16th,0.662,0.663,9,-7.782,0,0.132,0.00387,0,0.835,0.616,113.986,181547
151,2021,Albania,Anxhela Peristeri,Karma,57,Grand Final,NaN,21st,0.515,0.627,7,-10.083,0,0.0448,0.00371,0,0.127,0.192,149.987,179200
152,2021,Israel,Eden Alene,Set Me Free,93,Grand Final,NaN,17th,0.752,0.664,1,-7.392,0,0.0775,0.28,0,0.102,0.468,107.02,179439
153,2021,Belgium,Hooverphonic,The Wrong Place,74,Grand Final,NaN,19th,0.491,0.728,5,-4.482,1,0.0428,0.0479,1.38e-06,0.16,0.246,80.239,176507
154,2021,Russia,Manizha,Russian Woman,204,Grand Final,NaN,9th,0.89,0.701,4,-7.061,0,0.194,0.204,0,0.0741,0.652,102.001,176878
155,2021,Malta,Destiny,Je Me Casse,255,Grand Final,NaN,7th,0.763,0.87,8,-4.493,0,0.107,0.148,0,0.277,0.783,111.988,178500
156,2021,Portugal,The Black Mamba,Love Is On My Side,153,Grand Final,NaN,12th,0.285,0.419,4,-7.243,1,0.0286,0.338,3.26e-06,0.197,0.244,66.355,175960
